Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Mobilny robotnik gospodarczy"; "Iława, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "ICS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-21"; 
"Mobilny sprzedawca "; "Leszno, wielkopolskie"; "Umowa o pracę na czas określony"; "SOŁTYSIAK DAMIAN HANDEL OBWOŹNY ""JANCEL"""; "2025-02-10"; 
"Mobilny sprzedawca / sprzedawca terenowy"; "Piechanin, wielkopolskie"; "Umowa o pracę na okres próbny"; "ZAKŁAD HANDLOWO-USŁUGOWY ""CHŁODROL-BIS"" HENRYK PISZCZYŃSKI"; "2025-01-15"; 
"Montaż konstrukcji wsporczych"; "Wolbrom, małopolskie"; "Umowa o pracę na czas nieokreślony"; "TETRATRONIK SŁAWOMIR JANUS ZAKŁAD USŁUGOWY"; "2025-01-10"; 
"Montażysta"; "Bytom, śląskie"; "Umowa o pracę na czas określony"; "Vector Jakub Modrzyński"; "2024-12-17"; 
"Montażysta"; "Gdańsk, pomorskie"; "Umowa o pracę na okres próbny"; "HOUSESO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-19"; 
"MONTAŻYSTA"; "Olecko, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "TechnoLab Maciej Skórkiewicz"; "2025-02-18"; 
"Montażysta balustrad"; "Płouszowice, lubelskie"; "Umowa o pracę na okres próbny"; "STĘPNIAK GRZEGORZ PHU"; "2025-02-17"; 
"Montażysta blatów kuchennych"; "Kraków, małopolskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWO USŁUGOWE ""AGRO-VIT"" S.C.BARTŁOMIEJ NIEMIEC,JÓZEF GABRYŚ"; "2025-01-07"; 
"Montażysta dekoracji sceny "; "Bytom, śląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-10"; 
"Montażysta drzwi, okien, rolet"; "Gliwice, śląskie"; "Umowa o pracę na okres próbny"; "TOPMONT Jakub Karewicz"; "2025-01-31"; 
"Montażysta instalacji wentylacyjno- klimatyzacyjnych"; "Łódź, łódzkie"; "Umowa o pracę na okres próbny"; "Klimarp Roman Piecusiak"; "2025-02-19"; 
"Montażysta kuchni"; "Kozy, śląskie"; "Umowa o pracę na czas określony"; "CABOŃ BARTŁOMIEJ ""WYMIAR-MEBLE-CABOŃ"""; "2025-01-07"; 
"Montażysta maszyn rolniczych"; "Wysokie Mazowieckie, podlaskie"; "Umowa o pracę na okres próbny"; "GAMA GROUP Szepietowscy Sp. J."; "2025-01-16"; 
"Montażysta mebli"; "Siemianowice Śląskie, śląskie"; "Umowa o pracę na okres próbny"; "REDA MEBLE Remigiusz Konowol"; "2025-01-02"; 
"Montażysta mebli"; "Elbląg, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "HALEX SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIA SP. K."; "2025-01-15"; 
"Montażysta mebli"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-23"; 
"Montażysta mebli "; "Krosno, podkarpackie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-21"; 
"MONTAŻYSTA MEBLI "; "Nowe Miasto Lubawskie, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Andrzej Knitter MEBLE"; "2025-02-06"; 
"Montażysta na produkcji"; "Juszkowo, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ENTRA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-21"; 
"Montażysta okien"; "Serock, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "P.P.H.U. ""ORIM"" Mirosław Troczyński"; "2025-01-08"; 
"MONTAŻYSTA OKIEN"; "Krasiejów, opolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "NIEŚWIEC SP. Z O.O."; "2025-02-19"; 
"Montażysta okien i drzwi"; "Gdańsk, pomorskie"; "Umowa o pracę na okres próbny"; "ZAKŁAD REMONTOWO-BUDOWLANY ""ARKOW"" KAZIMIERZ KOWALCZYK"; "2025-01-29"; 
"Montażysta okien i drzwi "; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "GDAŃSKIE CENTRUM OKIENNE BEATA IWAŃSKA"; "2025-01-30"; 
"Montażysta podłóg"; "Szczytniki Małe, dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-30"; 
"Montażysta regałów magazynowych"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "RUBICOSAN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"Montażysta stelaży"; "Barlinek, zachodniopomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-20"; 
"Montażysta stoisk targowych/ Stolarz"; "Kraków, małopolskie"; "Umowa o pracę na czas nieokreślony"; "EXPO-GROUP S.C. WIOLETTA KAŁWA,SYLWIA OCHNIOWSKA"; "2025-02-07"; 
"Montażysta stolarki budowlanej"; "Staszów, świętokrzyskie"; "Umowa o pracę na czas określony"; "DARIUSZ LIPIŃSKI"; "2025-02-11"; 
"MONTAŻYSTA STOLARKI OKIENNEJ"; "Skierniewice, łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"MONTAŻYSTA STOLARKI OKIENNEJ I DRZWIOWEJ"; "Stare Koźle, opolskie"; "Umowa o pracę na czas określony"; "Bartosz Jaroński USŁUGI REMONTOWO-BUDOWLANE I TRANSPORTOWE"; "2024-10-08"; 
"MONTAŻYSTA SZKIELETÓW MEBLOWYCH"; "Piaski, wielkopolskie"; "Umowa o pracę na okres próbny"; "GABI JERCZYŃSKI SPÓŁKA KOMANDYTOWA"; "2025-01-28"; 
"Montażysta ścianek i sufitów"; "Chorzów, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Mateusz Krzemień MKBUD"; "2025-01-13"; 
"Montażysta urządzeń ochrony środowiska"; "Krapkowice, opolskie"; "Umowa o pracę na czas określony"; """TERRACON-POL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-19"; 
"Montażysta wykładzin"; "Kraków, małopolskie"; "Umowa o pracę na czas określony"; "EKSPOL KRAKÓW SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-30"; 
"Montażysta- operator R64/0425-202/25"; "Pikutkowo, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; """KONGSBERG AUTOMOTIVE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-21"; 
"Montażysta/ Pracownik Obróbki Kamienia Budowlanego"; "Skowarcz, pomorskie"; "Umowa o pracę na okres próbny"; "E-STONE Kamień Budowlany Karol Twardowski"; "2025-01-23"; 
"Montażysta/instalator robotów dla rolnictwa"; "Wysokie Mazowieckie, podlaskie"; "Umowa o pracę na okres próbny"; "GAMA GROUP Szepietowscy Sp. J."; "2025-01-16"; 
"MONTAŻYSTA/KA"; "Legnica, dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-18"; 
"montażysta/serwisant urządzeń gastronomicznych"; "Toruń, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "GASTROMATIC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-13"; 
"monter"; "Sobowidz, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "XMEDIA SP. Z O.O."; "2025-01-31"; 
"monter"; "Gdynia, pomorskie"; "Umowa o pracę na okres próbny"; """ETMAL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-14"; 
"Monter"; "Kraków, małopolskie"; "Umowa o pracę na czas określony"; "NAFTO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-07"; 
"Monter"; "Żelków-Kolonia, mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez OHP"; "2025-01-07"; 
"Monter"; "Malnia, opolskie"; "Umowa o pracę na czas określony"; "GT TRAILERS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-17"; 
"Monter"; "Wrocław, dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "PRZEDSIĘBIORSTWO ""ALMAK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-21"; 
"Monter"; "Chorula, opolskie"; "Umowa o pracę na czas określony"; "KOFAMA KOŹLE SPÓŁKA AKCYJNA"; "2025-01-23"; 
"Monter"; "Gdańsk, pomorskie"; "Umowa o pracę na okres próbny"; "GRUPA PRZEMYSŁOWA BALTIC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-05"; 
"Monter"; "Głogów, dolnośląskie"; "Umowa o pracę na okres próbny"; "PRS Sp. z o.o."; "2025-02-07"; 
"Monter"; "Ignatki, podlaskie"; "Umowa o pracę na okres próbny"; "PLUM sp. z o.o."; "2025-02-10"; 
"Monter"; "Jaworzno, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-10"; 
"Monter"; "Rybnik, śląskie"; "Umowa o pracę na okres próbny"; "ENERGOMONTAŻ-PÓŁNOC-BEŁCHATÓW SPÓŁKA AKCYJNA"; "2025-02-14"; 
"Monter"; "Skórzec, mazowieckie"; "Umowa o pracę na okres próbny"; "Mariusz Czeluściński Konstrukcje Budowlano-Stalowe ""STALMAR"""; "2025-02-14"; 
"Monter"; "Tarnowskie Góry, śląskie"; "Umowa o pracę na okres próbny"; "4 WOJSKOWY ODDZIAŁ GOSPODARCZY"; "2025-02-18"; 
"Monter"; "Nidzica, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "ESENTLE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-18"; 
"Monter"; "Kąty Wrocławskie, dolnośląskie"; "Umowa o pracę na czas nieokreślony"; """UNIA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-18"; 
"Monter"; "Białki, pomorskie"; "Umowa o pracę na okres próbny"; "DUO STEEL SZYMON ROŻNIATA"; "2025-02-19"; 
"Monter"; "Piekary Śląskie, śląskie"; "Umowa o pracę na okres próbny"; "POLO-TECH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-20"; 
"Monter"; "Gdynia, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Wyższa Szkoła Administracji i Biznesu im. E. Kwiatkowskiego w Gdyni"; "2025-02-21"; 
"Monter"; "Zielona Góra, lubuskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-14"; 
"MONTER"; "Koźmin Wielkopolski, wielkopolskie"; "Umowa o pracę na czas określony"; "BARTŁOMIEJ SKOWROŃSKI P.W "" BARTESKO """; "2025-01-03"; 
"MONTER"; "Fabianki, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "ALUNIKO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-14"; 
"Monter  konstrukcji stalowych na poziomie zero"; "Kielce, świętokrzyskie"; "Umowa o pracę na czas określony"; "USŁUGI I WYKONAWSTWO KONSTRUKCJI STALOWYCH JANUSZ MEUŚ"; "2025-01-02"; 
"Monter - elektronik"; "Tychy, śląskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO KOMPLETACJI I MONTAŻU SYSTEMÓW AUTOMATYKI ""CARBOAUTOMATYKA"" SPÓŁKA AKCYJNA"; "2025-01-02"; 
"Monter - instalator sieci wodnych - może być osoba do przyuczenia"; "Rybnik, śląskie"; "Umowa o pracę na okres próbny"; "INSBUD SPÓŁKA Z OGRANICZOMNĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-17"; 
"Monter - konserwator"; "Łęczyca, łódzkie"; "Umowa o pracę na okres próbny"; """WAG-POL ŁĘCZYCA"" Przemysław Żmudowski"; "2024-08-09"; 
"Monter - pakowacz (nr 0199)"; "Bydgoszcz, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWO-HANDLOWE "" ASBOL ""- IMPORT-EKSPORT ADAM WEŁNA"; "2025-01-28"; 
"Monter - serwisant urządzeń udojowych"; "Piechanin, wielkopolskie"; "Umowa o pracę na okres próbny"; "ZAKŁAD HANDLOWO-USŁUGOWY ""CHŁODROL-BIS"" HENRYK PISZCZYŃSKI"; "2025-01-15"; 
"Monter - spawacz"; "Nowiny, świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; """BIKO-SERWIS"" Sp. z o.o. Spółka Komandytowa"; "2025-02-21"; 
"Monter - teletechnik"; "Poznań, wielkopolskie"; "Umowa o pracę na czas nieokreślony"; "Krakowskie Zakłady Automatyki S.A."; "2025-01-16"; 
"Monter (Lubiczów, gm. Stare Babice) K/M"; "Lubiczów, mazowieckie"; "Umowa o pracę na okres próbny"; "MESKO S. A. (Oddział w Lubiczowie)"; "2025-02-12"; 
"Monter / konserwator instalacji wentylacyjnych i klimatyzacyjnych"; "Kraśnik, lubelskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-16"; 
"Monter / konserwator instalacji wentylacyjnych i klimatyzacyjnych"; "Słupsk, pomorskie"; "Umowa o pracę na czas nieokreślony"; "PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE ""ABIMET"" MIROSŁAWA ABRAMIK"; "2025-02-06"; 
"Monter / konserwator instalacji wentylacyjnych i klimatyzacyjnych"; "Chorzów, śląskie"; "Umowa o pracę na okres próbny"; "ŁUKASZ SOBAŁA WASO KLIM"; "2025-02-21"; 
"Monter / konserwator instalacji wentylacyjnych i klimatyzacyjnych - Staż EFS+ II"; "Niegosławice, lubuskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-19"; 
"Monter / konserwator urządzeń przeciwpożarowych"; "Stargard, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "AUTORYZOWANY SERWIS P.POŻ. ""SZYK""PHU JANUSZ SZCZEPANEK"; "2025-02-20"; 
"Monter / Serwisant Sieci FTTH"; "Katowice, śląskie"; "Umowa o pracę na okres próbny"; "KATOWICKIE PRZEDSIĘBIORSTWO ROBÓT TELEKOMUNIKACYJNYCH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-23"; 
"Monter / serwisant urządzeń chłodniczych i  klimatyzacyjnych"; "Kraków, małopolskie"; "Umowa o pracę na okres próbny"; "BARTOSZ BARAN FIRMA HANDLOWO USŁUGOWA ""BML"" CHŁODNICTWO I KLIMATYZACJA"; "2025-02-17"; 
"Monter / składacz okien"; "Ryki, lubelskie"; "Umowa o pracę na okres próbny"; "Grzegorz Jan Szymanek PHU ""DOM-LUX"""; "2025-01-21"; 
"Monter / składacz okien"; "Skarżysko-Kamienna, świętokrzyskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-06"; 
"Monter / składacz okien"; "Chmielnik, świętokrzyskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-11"; 
"Monter / składacz okien"; "Wola Zambrowska, podlaskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-19"; 
"Monter / składacz okien"; "Dzierżążno, pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-17"; 
"Monter / składacz okien PCV i Alu"; "Chodzież, wielkopolskie"; "Umowa o pracę na czas określony"; "Artur Brose ""OKNO-BROS"" EKSPORT-IMPORT"; "2025-02-11"; 
"Monter / spawacz-ślusarz"; "Chorzów, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; """Maluś Spaw"" Marcin Adamczyk"; "2025-02-11"; 
"monter aparatury pomiarowo regulacyjnej"; "Radomsko, łódzkie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO GOSPODARKI KOMUNALNEJ SPÓŁKA Z O. O."; "2025-02-06"; 
"Monter balustrad"; "Kozubszczyzna, lubelskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Usługowo-Handlowe ""ALUKOLOR"" sp. z o.o."; "2025-01-28"; 
"Monter barier drogowych "; "Rajbrot, małopolskie"; "Umowa o pracę na czas określony"; "JOZMAX JÓZEF MACIEJOWSKI"; "2025-02-03"; 
"Monter bram"; "Trzcinica, podkarpackie"; "Umowa o pracę na czas określony"; "JG Energy Jakub Gorgosz"; "2025-02-19"; 
"Monter bram"; "Podstolice, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-20"; 
"Monter bram garażowych"; "Rumia, pomorskie"; "Umowa o pracę na okres próbny"; "BILBO-PÓŁNOC MARIA WRÓBLEWSKA"; "2025-02-11"; 
"Monter bram i drobnych konstrukcji stalowych - brygadzista"; "Rumia, pomorskie"; "Umowa o pracę na okres próbny"; "BILBO-PÓŁNOC MARIA WRÓBLEWSKA"; "2025-02-11"; 
"Monter budowlany"; "Chruściele, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-01"; 
"Monter C.O."; "Zemborzyce Wojciechowskie, lubelskie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO USŁUGOWO-PRODUKCYJNO-HANDLOWE ASPOL ALICJA PYSZ-SZPORKO"; "2025-01-23"; 
"Monter choinek"; "Mysłów, śląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-18"; 
"Monter cylindrów"; "Ponięcice, śląskie"; "Umowa o pracę na czas określony"; "KOZŁOWSKA MAGDALENA PARTNER"; "2025-01-30"; 
"Monter do przyuczenia"; "Kraków, małopolskie"; "Umowa o pracę na czas określony"; "NAFTO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-07"; 
"Monter dociepleń i roboty wykończeniowe"; "Różanka, podkarpackie"; "Umowa o pracę na okres próbny"; "Zakład Remontowo-Budowlany Stanisław Wójtowicz Różanka"; "2025-01-30"; 
"Monter ekranów kinowych"; "Stary Sącz, małopolskie"; "Umowa o pracę na czas określony"; "EKRAN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-10"; 
"Monter elektroenergetyk\Operator\Kierowca"; "Cieplewo, pomorskie"; "Umowa o pracę na okres próbny"; "PIB MASTERNAK MICHAŁ MASTERNAK"; "2025-01-31"; 
"Monter elektronik - sprzęt komputerowy"; "Sosnowiec, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-18"; 
"Monter elektrotechniczny"; "Tychy, śląskie"; "Umowa o pracę na czas nieokreślony"; "MAREK PIWOWARSKI ZAKŁADY SPRZĘTU ELEKTROGRZ.""THERMOTECH"""; "2025-02-12"; 
"Monter elektrycznych przyrządów pomiarowych"; "Limanowa, małopolskie"; "Umowa o pracę na czas określony"; """LIMATHERM SENSOR"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-06"; 
"Monter elektryk"; "Siedlce, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-19"; 
"Monter elementów granitowych"; "Ścinawa, dolnośląskie"; "Umowa o pracę na okres próbny"; "NAGRO-GRANIT ELŻBIETA SOBOŃ"; "2025-02-20"; 
"MONTER ELEMENTÓW SYSTEMU POMPOWNI ORAZ SIECI WOD-KAN"; "Rzeszów, podkarpackie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO ""FERRBUD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-07"; 
"MONTER ELEMENTÓW SYSTEMU POMPOWNI ORAZ SIECI WOD-KAN - SPAWACZ "; "Rzeszów, podkarpackie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO ""FERRBUD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-07"; 
"Monter elewacji"; "Łapczyca, małopolskie"; "Umowa o pracę na okres próbny"; "JAROSŁAW ZIĘBA - ""ZIEMBUD"" Usługi remontowo-budowlano-handlowo-transportowe"; "2024-10-31"; 
"Monter fasad"; "Świętochłowice, śląskie"; "Umowa o pracę na czas określony"; "PIOMAR FUKSA SPÓŁKA KOMANDYTOWA"; "2025-02-11"; 
"Monter fasad przemysłowych (O)"; "Niemcy, Niemcy"; "Umowa o pracę na czas określony"; """NOVA-S.T."" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-06"; 
"Monter grzejnictwa - praca na produkcji"; "Pyrzyce, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "Backer OBR Spółka z ograniczoną odpowiedzialnością"; "2025-02-18"; 
"Monter Hydroizolacji"; "Warszawa, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "IZOVIL Kamil Wileński"; "2024-12-09"; 
"MONTER I KONSERWATOR SIECI WODOCIĄGOWEJ  I KANALIZACJI SANITARNEJ"; "Krotoszyn, wielkopolskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO GOSPODARKI KOMUNALNEJ I MIESZKANIOWEJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-12-27"; 
"monter i serwisant"; "Radzyń Podlaski, lubelskie"; "Umowa o pracę na czas nieokreślony"; "Robert Bukowski Media System"; "2025-02-14"; 
"Monter i serwisant urządzeń udojowych"; "Wilkowice, wielkopolskie"; "Umowa o pracę na okres próbny"; "CHŁODROL - WAWRZYNIAK SPÓŁKA JAWNA"; "2025-01-28"; 
"Monter instalacji"; "Katowice, śląskie"; "Umowa o pracę na okres próbny"; "MARK-TRANS-INSTALATOR MEDYCKI MAREK"; "2024-12-27"; 
"monter instalacji  sanitarnych"; "Międzyrzec Podlaski, lubelskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-16"; 
"Monter instalacji  sanitarnych"; "Kobierno, wielkopolskie"; "Umowa o pracę na czas określony"; "P.P.H.U. INSTALATOR KRYSTIAN MARCINIAK"; "2025-02-13"; 
"Monter instalacji  wodno-kanalizacyjnych c.o. i  gaz"; "Malbork, pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-19"; 
"Monter instalacji (Elektryk)"; "Żodyń, wielkopolskie"; "Umowa o pracę na czas nieokreślony"; "PRZEDSIĘBIORSTWO WIELOBRANŻOWE ROMIX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-03"; 
"Monter Instalacji C.O."; "Katowice, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "PRZEDSIĘBIORSTWO REMONTOWO MONTAŻOWE URZĄDZEŃ ENERGETYCZNYCH ""PREMEG"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-27"; 
"Monter Instalacji elektrycznej"; "Chorzów, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "FIRMA USŁUGOWO-HANDLOWA TELNET-SERVICE ROBERT TACZAŁA"; "2025-01-21"; 
"Monter instalacji elektrycznych"; "Neiße-Malxetal, Niemcy"; "Umowa o pracę na czas nieokreślony"; "Elektrotechnik Stefan Müller"; "2024-08-13"; 
"Monter instalacji elektrycznych"; "Sucha Beskidzka, małopolskie"; "Umowa o pracę na czas nieokreślony"; "GES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-17"; 
"Monter instalacji elektrycznych alarmowych i radiowych"; "Wolbrom, małopolskie"; "Umowa o pracę na czas nieokreślony"; "TETRATRONIK SŁAWOMIR JANUS ZAKŁAD USŁUGOWY"; "2025-01-10"; 
"Monter instalacji elektrycznych i automatyki"; "Gdynia, pomorskie"; "Umowa o pracę na czas nieokreślony"; "K&W EXPERT SP. Z O.O."; "2025-01-24"; 
"Monter instalacji elektrycznych i fotowoltaicznych"; "Tarnowskie Góry, śląskie"; "Umowa o pracę na okres próbny"; "ALTECH POWER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-10-21"; 
"Monter instalacji elektrycznych i fotowoltaicznych"; "Tarnowskie Góry, śląskie"; "Umowa o pracę na okres próbny"; "ALTECH POWER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-10-21"; 
"Monter instalacji elektrycznych i teletechnicznych (serwisant) - praca na terenie całej Polski K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na okres próbny"; """ENERGO - SECURITY SERWIS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-17"; 
"Monter instalacji elektrycznych/ elektrotechnicznych R90/0451-228/25"; "Włocławek, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "KAWUE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-21"; 
"monter instalacji fotowoltaicznej"; "Szprotawa, lubuskie"; "Umowa o pracę na okres próbny"; "TECHIONGROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-18"; 
"Monter instalacji fotowoltaicznych"; "Kościan, wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-23"; 
"Monter instalacji fotowoltaicznych"; "Bytom, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "WZ SOLAR PARTNER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-06"; 
"Monter instalacji fotowoltaicznych"; "Lubrza, lubuskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-10"; 
"Monter instalacji fotowoltaicznych"; "Zgierz, łódzkie"; "Umowa zlecenie / Umowa o świadczenie usług"; "BUDTECHSOLAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-12"; 
"Monter instalacji fotowoltaicznych"; "Skowarcz, pomorskie"; "Umowa o pracę na czas nieokreślony"; "Piotr Prażuch INTEK-TECH Technika Instalacji"; "2025-02-17"; 
"Monter instalacji fotowoltaicznych"; "Dąbrowa Górnicza, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; "2025-02-19"; 
"MONTER INSTALACJI FOTOWOLTAICZNYCH "; "Dębica, podkarpackie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Firma Usługowo-Handlowa Gabriela Babczak"; "2025-02-18"; 
"Monter instalacji fotowoltaicznych (O)"; "Wrocław, dolnośląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ELPART SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-28"; 
"Monter instalacji fotowoltaicznych i pomp ciepła"; "Reda, pomorskie"; "Umowa o pracę na czas określony"; "PACIFIC SUN Sp. z o.o."; "2025-01-09"; 
"MONTER INSTALACJI GAZOWEJ"; "Skierniewice, łódzkie"; "Umowa o pracę na czas określony"; "TOMASZ GEJO TECHNIKA"; "2024-10-29"; 
"Monter instalacji gazowych LPG"; "Uzdowo, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-02-14"; 
